TR4K Flange X48015,,TR4K Flange X50525,,TR70K Flange Pt100,,TR70k Magn.coupling Pt100,,TRFAA CA09,,TRFAA dd06,,TRFAA DD08,,TRFAA sf25,,TRFGGG CA07,,TRGGG d104,
84.9,297.38,85.92,292.19,6.03,44.61,7.46,47.84,3918,42.14,1020.2,395.08,1031.4,100.39,3850,0.92,3721,39.75,3922,0.5
84.93,297.26,85.93,292.16,6.27,45.16,7.46,47.84,3919,42.14,1020.3,383.76,1031.5,99.62,3907,0.88,3852,39.75,3923,0.5
84.94,297.22,85.94,292.12,6.41,45.48,7.46,47.84,3920,42.14,1020.4,373.07,1031.6,98.86,3911,0.88,3860,39.75,3924,0.5
84.95,297.18,85.95,292.09,6.49,45.66,7.46,47.85,3921,42.14,1020.5,362.96,1031.7,98.11,3912,0.87,3874,39.75,3925,0.5
84.99,297.01,85.96,292.05,6.52,45.72,7.46,47.85,3922,42.14,1020.6,353.39,1031.8,97.38,3913,0.87,3875,39.75,3926,0.5
85,296.97,85.97,292.02,6.54,45.78,7.46,47.85,3923,42.14,1020.7,344.31,1031.9,96.65,3914,0.87,3876,39.75,3927,0.5
85.01,296.93,85.98,291.98,6.54,45.79,7.46,47.85,3924,42.14,1020.8,335.68,1032,95.94,3915,0.87,3877,39.75,3928,0.5
85.02,296.89,85.99,291.94,6.55,45.8,7.46,47.86,3926,42.14,1020.9,327.47,1032.1,95.24,3916,0.87,3878,39.75,3929,0.5
85.03,296.85,86,291.91,6.55,45.8,7.46,47.86,4001,42.14,1021,319.66,1032.2,94.54,3917,0.87,3879,39.75,3930,0.5
85.04,296.8,86.01,291.87,6.56,45.83,7.46,47.86,4002,42.14,1021.1,312.21,1032.3,93.86,3918,0.87,3880,39.75,3931,0.5
85.05,296.76,86.02,291.84,6.57,45.85,7.46,47.86,4003,42.13,1021.2,305.1,1032.4,93.19,3919,0.87,3881,39.75,3932,0.5
85.06,296.72,86.03,291.8,6.59,45.88,7.47,47.86,4004,42.13,1021.3,298.31,1032.5,92.52,3920,0.87,3882,39.75,3933,0.5
85.07,296.68,86.04,291.77,6.63,45.98,7.47,47.87,4005,42.13,1021.4,291.81,1032.6,91.87,3921,0.87,3883,39.75,3934,0.5
85.08,296.64,86.05,291.73,6.64,46,7.47,47.87,4006,42.13,1021.5,285.59,1032.7,91.22,3922,0.87,3884,39.75,3935,0.5
85.09,296.6,86.06,291.69,6.66,46.05,7.47,47.87,4007,42.12,1021.6,279.63,1032.8,90.59,3923,0.87,3885,39.75,3936,0.5
85.1,296.56,86.07,291.66,6.67,46.07,7.47,47.87,4008,42.12,1021.7,273.92,1032.9,89.96,3924,0.87,3886,39.75,3937,0.5
85.11,296.52,86.08,291.62,6.67,46.07,7.47,47.88,4009,42.12,1021.8,268.43,1033,89.34,3925,0.87,3887,39.75,3938,0.5
85.12,296.48,86.09,291.59,6.68,46.09,7.47,47.88,4010,42.11,1021.9,263.16,1033.1,88.73,3926,0.86,3888,39.75,3939,0.5
85.13,296.43,86.1,291.55,6.68,46.1,7.47,47.88,4011,42.11,1022,258.09,1033.2,88.13,3927,0.86,3889,39.75,3940,0.5
85.14,296.39,86.11,291.52,6.69,46.11,7.47,47.89,4012,42.11,1022.1,253.21,1033.3,87.54,3928,0.86,3890,39.75,3941,0.5
85.15,296.35,86.12,291.48,6.69,46.11,7.48,47.89,4013,42.1,1022.2,248.52,1033.4,86.95,3929,0.86,3891,39.75,3942,0.5
85.16,296.31,86.13,291.44,6.7,46.13,7.48,47.89,4014,42.1,1022.3,243.99,1033.5,86.37,3930,0.86,3892,39.75,3943,0.5
85.17,296.27,86.14,291.41,6.7,46.14,7.48,47.89,4015,42.1,1022.4,239.63,1033.6,85.8,3931,0.86,3893,39.75,3944,0.5
85.18,296.23,86.15,291.37,6.7,46.14,7.48,47.9,4016,42.09,1022.5,235.42,1033.7,85.24,3932,0.86,3894,39.75,3945,0.5
85.19,296.19,86.16,291.34,6.7,46.14,7.48,47.9,4017,42.09,1022.6,231.35,1033.8,84.69,3933,0.86,3895,39.75,3946,0.5
85.2,296.15,86.17,291.3,6.71,46.15,7.48,47.9,4018,42.08,1022.7,227.43,1033.9,84.14,3934,0.86,3896,39.75,3947,0.5
85.21,296.1,86.18,291.27,6.71,46.15,7.48,47.9,4019,42.08,1022.8,223.63,1034,83.6,3935,0.86,3897,39.75,3948,0.5
85.22,296.06,86.19,291.23,6.71,46.15,7.48,47.91,4020,42.07,1022.9,219.96,1034.1,83.06,3936,0.86,3898,39.75,3949,0.5
85.23,296.02,86.2,291.2,6.71,46.15,7.49,47.91,4021,42.07,1023,216.41,1034.2,82.53,3937,0.86,3899,39.75,3950,0.5
85.24,295.98,86.21,291.16,6.71,46.16,7.49,47.91,4022,42.06,1023.1,212.97,1034.3,82.01,3938,0.86,3900,39.75,3951,0.5
